Name,University,Day,Time,Available
M1,University of Toronto,M,24,1
M1,University of Toronto,M,25,1
M1,University of Toronto,M,26,1
M1,University of Toronto,M,27,1
M1,University of Toronto,M,28,0
M1,University of Toronto,M,29,1
M1,University of Toronto,M,30,1
M1,University of Toronto,M,31,1
M1,University of Toronto,M,32,1
M1,University of Toronto,M,33,1
M1,University of Toronto,M,34,1
M1,University of Toronto,M,35,1
M1,University of Toronto,M,36,1
M1,University of Toronto,M,37,0
M1,University of Toronto,M,38,0
M1,University of Toronto,M,39,1
M1,University of Toronto,M,40,1
M1,University of Toronto,M,41,1
M1,University of Toronto,M,42,1
M1,University of Toronto,M,43,0
M1,University of Toronto,M,44,1
M1,University of Toronto,M,45,1
M1,University of Toronto,M,46,1
M1,University of Toronto,M,47,1
M1,University of Toronto,M,48,1
M1,University of Toronto,M,49,1
M1,University of Toronto,M,50,1
M1,University of Toronto,M,51,1
M1,University of Toronto,M,52,1
M1,University of Toronto,M,53,1
M1,University of Toronto,M,54,1
M1,University of Toronto,M,55,1
M1,University of Toronto,M,56,1
M1,University of Toronto,M,57,1
M1,University of Toronto,T,24,1
M1,University of Toronto,T,25,1
M1,University of Toronto,T,26,1
M1,University of Toronto,T,27,1
M1,University of Toronto,T,28,0
M1,University of Toronto,T,29,1
M1,University of Toronto,T,30,1
M1,University of Toronto,T,31,1
M1,University of Toronto,T,32,1
M1,University of Toronto,T,33,1
M1,University of Toronto,T,34,1
M1,University of Toronto,T,35,1
M1,University of Toronto,T,36,1
M1,University of Toronto,T,37,0
M1,University of Toronto,T,38,0
M1,University of Toronto,T,39,1
M1,University of Toronto,T,40,1
M1,University of Toronto,T,41,1
M1,University of Toronto,T,42,0
M1,University of Toronto,T,43,0
M1,University of Toronto,T,44,0
M1,University of Toronto,T,45,0
M1,University of Toronto,T,46,0
M1,University of Toronto,T,47,0
M1,University of Toronto,T,48,1
M1,University of Toronto,T,49,1
M1,University of Toronto,T,50,1
M1,University of Toronto,T,51,1
M1,University of Toronto,T,52,1
M1,University of Toronto,T,53,1
M1,University of Toronto,T,54,1
M1,University of Toronto,T,55,1
M1,University of Toronto,T,56,1
M1,University of Toronto,T,57,1
M1,University of Toronto,W,24,1
M1,University of Toronto,W,25,1
M1,University of Toronto,W,26,1
M1,University of Toronto,W,27,1
M1,University of Toronto,W,28,0
M1,University of Toronto,W,29,1
M1,University of Toronto,W,30,1
M1,University of Toronto,W,31,1
M1,University of Toronto,W,32,1
M1,University of Toronto,W,33,1
M1,University of Toronto,W,34,1
M1,University of Toronto,W,35,1
M1,University of Toronto,W,36,1
M1,University of Toronto,W,37,0
M1,University of Toronto,W,38,0
M1,University of Toronto,W,39,1
M1,University of Toronto,W,40,1
M1,University of Toronto,W,41,1
M1,University of Toronto,W,42,1
M1,University of Toronto,W,43,0
M1,University of Toronto,W,44,1
M1,University of Toronto,W,45,1
M1,University of Toronto,W,46,1
M1,University of Toronto,W,47,1
M1,University of Toronto,W,48,1
M1,University of Toronto,W,49,1
M1,University of Toronto,W,50,1
M1,University of Toronto,W,51,1
M1,University of Toronto,W,52,1
M1,University of Toronto,W,53,1
M1,University of Toronto,W,54,1
M1,University of Toronto,W,55,1
M1,University of Toronto,W,56,1
M1,University of Toronto,W,57,1
M1,University of Toronto,Th,24,1
M1,University of Toronto,Th,25,1
M1,University of Toronto,Th,26,1
M1,University of Toronto,Th,27,1
M1,University of Toronto,Th,28,0
M1,University of Toronto,Th,29,1
M1,University of Toronto,Th,30,1
M1,University of Toronto,Th,31,1
M1,University of Toronto,Th,32,1
M1,University of Toronto,Th,33,1
M1,University of Toronto,Th,34,1
M1,University of Toronto,Th,35,1
M1,University of Toronto,Th,36,1
M1,University of Toronto,Th,37,0
M1,University of Toronto,Th,38,0
M1,University of Toronto,Th,39,1
M1,University of Toronto,Th,40,1
M1,University of Toronto,Th,41,1
M1,University of Toronto,Th,42,0
M1,University of Toronto,Th,43,0
M1,University of Toronto,Th,44,0
M1,University of Toronto,Th,45,0
M1,University of Toronto,Th,46,0
M1,University of Toronto,Th,47,0
M1,University of Toronto,Th,48,1
M1,University of Toronto,Th,49,1
M1,University of Toronto,Th,50,1
M1,University of Toronto,Th,51,1
M1,University of Toronto,Th,52,1
M1,University of Toronto,Th,53,1
M1,University of Toronto,Th,54,1
M1,University of Toronto,Th,55,1
M1,University of Toronto,Th,56,1
M1,University of Toronto,Th,57,1
M1,University of Toronto,F,24,1
M1,University of Toronto,F,25,1
M1,University of Toronto,F,26,1
M1,University of Toronto,F,27,1
M1,University of Toronto,F,28,0
M1,University of Toronto,F,29,1
M1,University of Toronto,F,30,1
M1,University of Toronto,F,31,1
M1,University of Toronto,F,32,1
M1,University of Toronto,F,33,1
M1,University of Toronto,F,34,1
M1,University of Toronto,F,35,1
M1,University of Toronto,F,36,1
M1,University of Toronto,F,37,0
M1,University of Toronto,F,38,0
M1,University of Toronto,F,39,1
M1,University of Toronto,F,40,1
M1,University of Toronto,F,41,1
M1,University of Toronto,F,42,1
M1,University of Toronto,F,43,0
M1,University of Toronto,F,44,1
M1,University of Toronto,F,45,1
M1,University of Toronto,F,46,1
M1,University of Toronto,F,47,1
M1,University of Toronto,F,48,1
M1,University of Toronto,F,49,1
M1,University of Toronto,F,50,1
M1,University of Toronto,F,51,1
M1,University of Toronto,F,52,1
M1,University of Toronto,F,53,1
M1,University of Toronto,F,54,1
M1,University of Toronto,F,55,1
M1,University of Toronto,F,56,1
M1,University of Toronto,F,57,1
M2,Toronto Metropolitan University,M,24,1
