seed,day,time,participant
0,0,0,1
0,0,0,3
0,0,0,4
0,0,0,6
0,0,0,7
0,0,0,5
0,0,0,11
0,0,0,12
0,0,0,17
0,0,0,10
0,0,0,15
0,0,0,16
0,0,0,22
0,0,0,23
0,0,0,20
0,0,0,21
0,0,0,24
0,0,0,26
0,0,0,28
0,0,0,29
0,0,1,2
0,0,1,3
0,0,1,4
0,0,1,1
0,0,1,6
0,0,1,8
0,0,1,5
0,0,1,10
0,0,1,11
0,0,1,12
0,0,1,13
0,0,1,15
0,0,1,16
0,0,1,17
0,0,1,18
0,0,1,19
0,0,1,20
0,0,1,21
0,0,1,23
0,0,1,24
0,0,2,0
0,0,2,1
0,0,2,6
0,0,2,3
0,0,2,7
0,0,2,8
0,0,2,5
0,0,2,10
0,0,2,11
0,0,2,12
0,0,2,13
0,0,2,18
0,0,2,19
0,0,2,16
0,0,2,17
0,0,2,21
0,0,2,22
0,0,2,24
0,0,2,26
0,0,2,27
0,0,3,1
0,0,3,2
0,0,3,3
0,0,3,4
0,0,3,6
0,0,3,8
0,0,3,9
0,0,3,10
0,0,3,11
0,0,3,12
0,0,3,15
0,0,3,16
0,0,3,17
0,0,3,18
0,0,3,19
0,0,3,21
0,0,3,23
0,0,3,24
0,0,3,26
0,0,3,28
0,0,4,6
0,0,4,10
0,0,4,23
0,0,4,27
0,0,4,28
0,0,5,0
0,0,5,1
0,0,5,3
0,0,5,4
0,0,5,5
0,0,5,6
0,0,5,8
0,0,5,9
0,0,5,10
0,0,5,11
0,0,5,12
0,0,5,14
0,0,5,16
0,0,5,19
0,0,5,20
0,0,5,23
0,0,5,24
0,0,5,26
0,0,5,28
0,0,5,29
0,0,6,1
0,0,6,2
0,0,6,4
0,0,6,5
0,0,6,6
0,0,6,8
0,0,6,9
0,0,6,10
0,0,6,11
0,0,6,12
0,0,6,14
0,0,6,15
0,0,6,18
0,0,6,19
0,0,6,23
0,0,6,24
0,0,6,25
0,0,6,26
0,0,6,27
0,0,6,3
0,0,7,0
0,0,7,1
0,0,7,2
0,0,7,3
0,0,7,4
0,0,7,8
0,0,7,9
0,0,7,11
0,0,7,12
0,0,7,13
0,0,7,14
0,0,7,15
0,0,7,18
0,0,7,19
0,0,7,20
0,0,7,24
0,0,7,26
0,0,7,27
0,0,7,28
0,0,7,29
0,0,8,0
0,0,8,1
0,0,8,2
0,0,8,3
0,0,8,4
0,0,8,6
0,0,8,8
0,0,8,9
0,0,8,11
0,0,8,12
0,0,8,13
0,0,8,14
0,0,8,15
0,0,8,17
0,0,8,18
0,0,8,20
0,0,8,21
0,0,8,24
0,0,8,26
0,0,8,28
0,0,9,0
0,0,9,1
0,0,9,2
0,0,9,4
0,0,9,5
0,0,9,6
0,0,9,7
0,0,9,9
0,0,9,11
